square_footage,bedrooms,home_age_years,location,price
3510,6,59,Downtown,1000700
3209,5,49,Suburb,888200
3143,6,51,Downtown,869100
2123,3,41,Rural,553300
3007,5,4,Suburb,912000
1909,5,27,Suburb,588300
2737,4,34,Suburb,750700
2609,5,64,Downtown,775300
1537,2,15,Rural,414100
1583,3,34,Suburb,497500
1018,2,24,Suburb,421800
1234,2,9,Downtown,575500
2042,3,7,Suburb,625100
2164,4,25,Suburb,703900
1304,1,5,Rural,385000
1996,4,4,Suburb,691800
2512,5,24,Suburb,742500
1489,3,14,Downtown,595200
1780,3,38,Downtown,630900
1861,3,1,Suburb,686900
2239,3,21,Suburb,678900
1857,3,31,Downtown,627500
2877,3,67,Rural,690200
1750,2,44,Rural,435300
2043,2,61,Downtown,615800
1893,2,24,Suburb,587700
1353,3,31,Downtown,543400
2736,5,29,Suburb,791900
1497,2,62,Downtown,515700
1666,2,67,Suburb,472500
3030,3,67,Suburb,772400
3460,5,52,Suburb,853900
2695,6,35,Downtown,884100
3370,5,37,Rural,814100
3199,5,68,Downtown,873300
2172,4,19,Downtown,742000
2969,4,24,Suburb,822800
1753,3,62,Suburb,487800
2116,3,27,Rural,580600
2322,4,16,Rural,598100
3492,6,39,Downtown,1014500
3184,5,22,Rural,805000
2195,4,62,Downtown,693300
2645,4,63,Suburb,712700
1406,3,21,Downtown,539800
3062,6,37,Rural,813300
2371,3,68,Downtown,706700
2315,3,51,Downtown,665600
2958,5,15,Suburb,796700
2591,4,41,Rural,656600
1049,3,43,Rural,314500
1642,2,45,Suburb,483700
1336,3,1,Rural,430900
2871,5,20,Rural,764400
946,2,59,Suburb,350800
1406,3,16,Downtown,543300
2493,4,20,Suburb,697600
2761,4,22,Suburb,752100
2234,3,12,Suburb,674500
3217,5,10,Downtown,1019400
3378,4,24,Suburb,893300
1213,2,61,Downtown,393400
3470,5,0,Rural,862000
2540,5,19,Downtown,815300
2600,2,4,Downtown,799500
1111,1,39,Rural,291400
2560,3,17,Downtown,808600
2846,4,55,Downtown,828600
2447,4,40,Suburb,720900
1082,2,54,Rural,277700
2289,3,44,Downtown,695800
3424,5,30,Downtown,1016900
2840,5,60,Suburb,727300
1228,1,33,Rural,343600
3490,6,66,Suburb,913600
3487,6,69,Downtown,982800
1316,2,41,Downtown,545800
3053,5,47,Downtown,890900
1968,3,17,Downtown,739800
2483,5,57,Suburb,691900
2074,3,47,Downtown,637200
3002,4,63,Suburb,780500
3591,5,18,Suburb,945700
3037,4,55,Suburb,776300
3412,4,32,Downtown,991800
3452,5,12,Rural,902100
1097,2,11,Suburb,401000
1547,3,39,Suburb,518100
2835,4,22,Downtown,905800
2473,3,7,Downtown,839600
987,2,29,Rural,320800
1111,2,45,Suburb,413000
2282,3,22,Downtown,695400
2545,3,66,Suburb,655000
1311,2,54,Suburb,384700
1321,2,35,Rural,371200
1205,1,65,Downtown,418900
2404,4,30,Rural,628000
871,2,9,Downtown,502200
2424,3,2,Suburb,714000
2159,3,65,Suburb,596100
2131,2,67,Downtown,633100
2718,5,51,Downtown,835400
2287,4,7,Suburb,702200
2852,4,20,Rural,748300
2951,5,2,Suburb,892800
3381,4,3,Rural,909200
3048,4,17,Rural,788600
2274,3,40,Suburb,655500
2203,3,4,Suburb,640700
1498,3,68,Downtown,523800
2499,5,31,Downtown,838000
