customer_id,annual_spending,purchase_frequency,age,region,cluster
C0219,1147.03,13.9,28,West,1
C0220,496.63,5.1,46,East,0
C0221,696.48,5.3,39,West,0
C0222,1867.93,12.0,36,East,1
C0223,280.68,2.4,59,East,2
C0224,2914.36,24.9,51,North,3
C0225,653.36,6.5,48,West,0
C0226,1499.47,10.6,58,North,2
C0227,1134.67,12.2,28,North,1
C0228,1968.03,26.1,60,East,3
C0229,493.84,6.8,47,East,0
C0230,649.02,10.9,57,North,2
C0231,1196.3,14.2,43,East,1
C0232,1245.48,10.6,32,East,1
C0233,663.67,8.8,43,South,0
C0234,1308.74,15.6,24,East,1
C0235,505.81,10.4,47,East,0
C0236,995.93,13.3,46,South,1
C0237,162.49,3.4,55,North,2
C0238,387.44,6.2,44,South,0
C0239,2489.16,23.2,34,West,3
C0240,405.97,4.5,52,South,2
C0241,1302.44,12.8,30,East,1
C0242,279.81,4.6,62,South,2
C0243,502.76,1.0,40,East,0
C0244,2282.79,22.0,39,East,3
C0245,630.84,5.9,53,South,2
C0246,1821.23,23.3,26,East,3
C0247,276.96,1.0,68,West,2
C0248,322.12,5.2,55,West,2
C0249,449.05,3.7,47,West,0
C0250,1657.29,13.9,35,North,1
C0251,531.31,5.9,61,West,2
C0252,1527.56,13.6,39,East,1
C0253,2634.71,25.1,39,South,3
C0254,254.42,5.3,58,South,2
C0255,1463.46,16.6,42,North,1
C0256,1330.67,20.0,40,West,1
C0257,1004.63,12.4,50,West,0
C0258,230.11,1.3,67,North,2
C0259,285.33,2.8,67,East,2
C0260,1088.72,9.8,27,East,1
C0261,1380.9,13.6,32,North,1
C0262,435.28,5.4,54,East,2
C0263,1061.94,11.5,28,West,1
C0264,280.16,3.7,75,South,2
C0265,311.76,2.9,65,East,2
C0266,618.93,4.7,63,West,2
C0267,2489.03,24.5,46,South,3
C0268,584.24,9.4,40,North,0
C0269,342.3,3.4,66,South,2
C0270,1201.63,12.2,44,North,1
C0271,319.33,1.2,69,South,2
C0272,1414.81,12.8,34,East,1
C0273,319.66,4.5,45,North,0
C0274,587.19,7.4,26,East,1
C0275,2588.29,25.5,47,West,3
C0276,1430.55,12.3,30,South,1
C0277,1690.12,26.4,48,West,3
C0278,1512.91,11.4,44,South,1
C0279,218.86,1.1,59,East,2
C0280,1399.22,16.7,36,North,1
C0281,253.25,1.0,52,South,2
C0282,3499.46,25.7,51,West,3
C0283,526.34,6.0,51,East,0
C0284,272.69,2.4,53,East,2
C0285,505.7,6.1,38,East,0
C0286,315.44,3.6,57,North,2
C0287,255.32,3.2,54,West,2
C0288,554.61,8.4,35,South,0
C0289,765.18,5.8,48,North,0
C0290,2161.26,26.5,41,West,3
C0291,1161.32,11.7,36,North,1
C0292,1344.13,13.4,38,West,1
C0293,479.57,4.3,41,South,0
C0294,595.57,7.5,51,North,0
C0295,549.85,6.8,44,North,0
C0296,205.92,2.5,55,East,2
C0297,2032.43,22.8,43,East,3
C0298,238.8,1.4,70,North,2
C0299,1778.78,23.6,33,South,3
C0300,1080.88,12.6,30,North,1
C0301,606.82,9.0,52,East,0
C0302,1480.54,10.0,36,West,1
C0303,596.27,7.9,59,South,2
C0304,655.83,8.0,66,West,2
C0305,559.53,5.4,46,South,0
C0306,2088.23,24.1,28,North,3
C0307,1130.86,12.7,46,South,1
C0308,2999.99,21.9,59,West,3
C0309,1283.38,13.5,25,West,1
C0310,2220.97,26.3,43,East,3
C0311,1274.26,13.5,26,South,1
C0312,294.78,6.1,67,West,2
C0313,293.24,6.4,48,East,0
C0314,453.8,10.1,50,West,0
C0315,2370.0,23.9,36,East,3
C0316,577.38,6.4,45,East,0
C0317,1978.11,24.6,38,West,3
C0318,1028.16,15.8,55,West,0
C0319,1687.09,14.4,36,East,1
C0320,296.2,3.9,55,North,2
C0321,680.56,1.5,43,South,0
C0322,1430.24,11.1,36,East,1
C0323,608.77,9.3,35,East,0
C0324,226.12,1.0,46,South,0
C0325,1840.13,21.9,52,North,3
C0326,519.1,6.1,37,West,0
C0327,1392.55,17.1,31,West,1
C0328,3276.14,24.8,42,North,3
C0329,321.61,3.9,73,South,2
C0330,2734.1,25.2,39,South,3
C0331,633.07,3.9,46,West,0
C0332,3797.48,18.5,44,West,3
C0333,576.89,5.5,43,South,0
C0334,559.05,5.4,47,South,0
C0335,273.67,7.4,56,South,2
C0336,606.39,4.5,52,North,0
C0337,622.61,6.9,37,South,0
C0338,1080.71,16.7,32,South,1
C0339,2788.41,21.9,50,North,3
C0340,482.05,3.9,39,East,0
C0341,1125.39,13.9,39,West,1
C0342,2007.18,23.9,33,South,3
C0343,334.75,4.8,58,South,2
C0344,1311.12,16.9,37,South,1
C0345,2075.08,25.3,33,North,3
C0346,288.63,1.7,52,East,2
C0347,525.24,8.0,54,South,2
C0348,641.69,6.7,43,West,0
C0349,1438.98,24.8,24,South,1
C0350,817.24,12.6,40,West,1
C0351,505.34,9.4,49,South,0
C0352,1193.88,16.0,51,North,1
C0353,600.74,4.3,41,South,0
C0354,924.48,12.9,30,West,1
C0355,1175.96,13.6,22,South,1
C0356,1931.32,22.9,42,West,3
C0357,1138.87,12.4,32,East,1
C0358,923.89,11.8,36,East,1
C0359,519.27,6.2,48,West,0
C0360,617.49,4.6,32,East,0
