age,tenure_months,monthly_usage_hours,purchase_amount,customer_service_calls,late_payments,region,contract_type,autopay,churn
21,48,27.9,176.62,1,1,West,Month-to-month,No,0
68,8,26.3,178.67,4,1,South,One year,Yes,1
73,29,10.1,499.61,2,0,East,Two year,Yes,1
74,25,19.1,71.89,2,1,West,One year,Yes,1
74,12,22.0,209.04,1,0,East,Month-to-month,Yes,0
71,26,14.0,249.73,2,0,North,Two year,Yes,1
60,39,39.0,184.83,3,1,South,Month-to-month,Yes,1
21,49,51.1,196.57,0,2,South,One year,No,1
44,7,17.5,75.3,5,0,West,One year,No,1
32,63,36.5,196.18,2,0,East,One year,No,1
30,64,15.5,238.7,2,0,South,Month-to-month,No,1
66,50,27.1,219.4,1,1,East,Month-to-month,No,0
65,67,21.0,244.87,5,0,East,Month-to-month,No,1
48,31,41.6,333.32,4,0,South,Month-to-month,Yes,1
60,60,21.1,283.38,1,0,South,Month-to-month,No,0
25,53,48.2,192.49,2,0,West,One year,Yes,0
30,41,28.1,61.97,5,1,East,Month-to-month,Yes,1
67,13,21.6,122.0,7,0,North,One year,Yes,0
44,41,11.9,161.94,6,0,East,Two year,Yes,0
49,65,36.1,211.5,5,0,East,Month-to-month,No,0
44,71,46.3,134.78,1,0,East,One year,Yes,0
29,33,36.4,86.75,4,0,East,One year,No,1
65,18,67.8,60.24,6,0,West,Month-to-month,Yes,1
61,54,54.9,11.63,3,0,South,Month-to-month,Yes,1
57,6,27.1,160.33,6,1,South,One year,Yes,1
38,11,26.9,30.69,3,0,North,Two year,Yes,1
55,41,39.5,79.94,3,1,East,One year,No,1
73,72,18.6,143.64,3,2,South,Two year,Yes,0
55,24,50.7,44.73,2,0,South,Two year,Yes,1
46,32,37.8,224.87,2,1,East,Month-to-month,Yes,1
33,24,36.1,262.72,4,0,South,One year,No,1
48,32,43.0,127.31,2,1,South,Month-to-month,No,1
39,1,59.6,139.11,6,3,South,Two year,No,0
53,43,34.7,241.43,4,1,South,Month-to-month,Yes,1
20,43,30.2,110.03,0,4,North,Month-to-month,No,0
29,23,56.1,102.81,0,0,West,Two year,Yes,1
63,20,47.5,310.63,1,1,North,Month-to-month,Yes,1
40,55,26.9,277.84,7,0,South,One year,Yes,1
43,14,32.1,248.16,7,0,East,Month-to-month,Yes,1
49,4,35.1,282.19,0,1,North,Two year,Yes,1
43,3,37.8,10.0,1,0,East,Two year,Yes,1
62,64,10.3,327.15,1,0,East,Month-to-month,Yes,0
32,27,7.3,226.17,4,0,East,One year,Yes,0
61,8,17.8,291.13,0,0,South,Month-to-month,Yes,1
30,64,16.6,225.65,5,0,North,One year,Yes,0
39,11,21.7,190.14,3,1,West,One year,No,0
52,25,42.2,156.09,1,0,South,One year,No,0
69,2,29.3,223.55,1,0,West,Month-to-month,Yes,1
31,49,35.1,152.27,1,1,North,Month-to-month,Yes,0
52,51,12.4,276.13,2,0,North,One year,Yes,1
21,55,24.6,18.42,4,0,West,One year,Yes,1
22,19,41.4,128.13,4,1,West,Month-to-month,Yes,1
62,24,41.5,399.71,3,4,West,Month-to-month,Yes,1
59,68,20.4,119.26,2,0,West,Month-to-month,No,1
39,60,34.6,159.94,2,0,North,Two year,No,0
54,3,67.2,92.33,2,0,West,Month-to-month,No,1
40,50,31.7,220.26,0,0,East,Month-to-month,Yes,0
34,59,20.9,107.69,1,1,North,Two year,No,0
43,41,29.2,165.51,6,0,North,Month-to-month,No,1
36,47,33.5,274.13,2,1,West,One year,No,0
65,1,29.6,111.63,4,0,South,Month-to-month,No,1
41,3,31.5,267.8,6,0,West,Two year,No,1
36,3,8.9,271.33,2,1,North,One year,No,1
49,12,16.6,295.77,4,1,South,Two year,Yes,1
61,72,29.6,199.76,3,0,South,Month-to-month,Yes,0
33,46,29.4,525.33,1,1,South,Month-to-month,Yes,1
72,57,22.9,295.73,2,0,East,One year,Yes,0
44,22,29.2,219.11,1,0,West,Month-to-month,Yes,1
56,68,33.0,93.03,0,0,West,Month-to-month,Yes,0
73,15,46.2,174.81,3,1,East,Month-to-month,Yes,0
43,65,30.4,334.76,6,2,North,Two year,Yes,0
29,3,38.4,364.5,3,0,West,One year,No,0
61,2,23.3,340.22,0,1,East,One year,Yes,0
18,6,41.2,267.45,5,1,East,One year,Yes,1
44,58,38.0,53.16,4,2,East,Month-to-month,Yes,1
74,19,45.9,236.15,3,2,West,Month-to-month,Yes,1
42,33,43.4,54.65,2,0,West,Month-to-month,No,1
57,34,41.4,28.82,3,0,East,One year,No,0
48,57,30.4,210.11,6,0,East,Month-to-month,Yes,0
30,26,35.9,239.94,7,1,East,Two year,Yes,1
36,1,49.0,279.85,2,0,South,One year,Yes,1
48,28,21.6,237.2,5,1,South,Month-to-month,No,1
24,21,21.9,240.82,1,1,East,One year,No,1
42,53,34.9,81.61,4,1,North,Month-to-month,No,1
42,55,38.6,173.98,0,1,South,Two year,Yes,0
66,7,18.8,26.75,3,0,East,Two year,No,1
25,58,30.8,10.0,3,0,West,Two year,No,1
66,6,30.5,262.77,1,0,East,Month-to-month,No,1
41,45,1.0,105.92,2,1,South,Month-to-month,Yes,1
55,29,28.5,276.61,3,0,South,Month-to-month,Yes,1
50,22,29.5,301.38,3,0,East,Month-to-month,Yes,1
35,35,29.4,119.97,4,1,East,Month-to-month,Yes,1
71,23,54.7,246.98,0,0,North,Month-to-month,No,0
31,58,12.5,115.58,4,3,East,Two year,Yes,1
20,70,18.8,10.0,2,0,South,Month-to-month,Yes,0
61,59,1.0,197.95,4,2,East,Month-to-month,No,1
54,32,24.3,135.56,3,0,West,One year,Yes,1
69,37,25.7,138.79,1,0,West,One year,No,1
44,33,23.8,392.41,2,1,East,One year,No,0
18,58,49.7,24.79,1,1,South,One year,No,1
19,40,45.8,225.2,2,1,South,Two year,No,1
43,34,33.2,80.55,2,0,North,One year,Yes,0
32,30,26.1,280.37,4,0,West,Month-to-month,Yes,1
71,28,48.4,216.34,4,2,West,One year,No,1
24,40,31.7,224.83,5,2,West,Month-to-month,Yes,1
69,50,18.9,85.79,5,3,South,Month-to-month,Yes,1
30,32,4.5,104.61,0,1,South,Month-to-month,Yes,1
24,59,24.9,282.36,3,0,West,Month-to-month,Yes,1
33,60,44.1,370.93,3,2,East,One year,Yes,1
26,31,68.4,235.43,1,0,East,Month-to-month,Yes,1
41,66,33.0,90.77,4,1,South,Month-to-month,Yes,1
37,13,19.8,220.59,1,0,South,Month-to-month,No,0
48,68,13.0,439.88,3,2,East,Two year,Yes,1
49,22,40.8,195.75,4,1,West,Month-to-month,Yes,1
18,41,3.8,338.49,1,0,South,One year,Yes,0
25,21,40.8,107.27,4,2,West,Two year,Yes,1
27,32,45.1,180.58,2,0,North,Month-to-month,Yes,0
29,25,39.0,250.05,4,0,South,One year,Yes,0
23,51,28.5,226.72,2,0,West,Month-to-month,No,1
36,6,41.0,104.53,5,0,West,Month-to-month,Yes,1
49,61,34.7,100.0,1,0,West,One year,No,0
35,66,19.6,288.77,1,1,South,Two year,Yes,0
37,41,61.6,310.11,2,1,West,Month-to-month,Yes,0
45,40,26.4,343.78,2,2,West,One year,Yes,1
49,51,44.4,374.41,4,0,West,Month-to-month,No,1
37,15,1.0,199.14,0,1,North,One year,Yes,1
30,54,52.4,152.32,5,0,East,One year,Yes,0
41,16,55.5,326.85,2,0,West,One year,Yes,0
19,49,32.5,259.87,5,1,West,One year,Yes,0
46,23,40.9,81.84,2,1,North,Month-to-month,No,1
72,54,40.9,76.47,3,1,West,One year,No,0
41,57,21.7,236.65,2,2,North,One year,Yes,1
24,16,40.8,166.39,2,0,South,One year,Yes,0
59,45,19.1,182.22,0,2,East,Month-to-month,Yes,1
25,36,22.3,297.62,3,0,South,Month-to-month,No,0
29,22,50.0,264.7,2,0,East,Month-to-month,Yes,1
26,43,47.6,324.64,4,0,North,Month-to-month,Yes,0
69,72,20.7,10.0,2,0,East,Month-to-month,No,1
74,1,20.3,211.61,4,0,East,Month-to-month,No,1
51,69,21.7,257.94,4,0,East,One year,Yes,0
53,62,43.7,24.71,2,3,South,Month-to-month,Yes,0
55,39,16.0,116.24,2,1,South,One year,No,0
53,44,37.7,96.75,1,1,South,Month-to-month,No,1
49,27,43.9,187.28,2,2,South,One year,Yes,1
75,10,30.6,355.92,1,0,East,Month-to-month,Yes,1
60,42,48.2,397.37,1,1,South,Month-to-month,Yes,0
23,59,27.1,99.5,0,0,South,One year,Yes,0
40,17,28.6,240.29,4,0,South,Two year,Yes,0
74,52,16.4,243.67,4,0,North,Month-to-month,No,1
41,54,48.3,225.7,3,1,East,Month-to-month,Yes,0
29,55,19.7,226.89,4,0,West,One year,Yes,1
68,25,37.6,216.89,2,2,South,One year,No,1
54,29,30.9,362.19,4,1,West,Month-to-month,Yes,1
50,30,15.2,300.76,1,1,East,Month-to-month,Yes,0
42,62,22.3,73.68,1,1,North,Month-to-month,No,1
25,65,54.1,268.55,4,1,South,Two year,Yes,1
40,30,35.2,278.7,5,1,North,Month-to-month,No,1
43,70,15.9,218.07,0,0,North,Month-to-month,Yes,0
72,42,36.9,303.8,1,2,South,Two year,Yes,0
35,28,29.7,204.75,4,0,South,Month-to-month,No,1
26,1,87.3,206.05,2,0,West,Month-to-month,Yes,1
42,44,36.6,197.73,4,1,North,Month-to-month,Yes,1
75,47,25.9,10.0,2,0,West,Month-to-month,Yes,1
45,70,54.7,176.56,5,1,North,Month-to-month,Yes,1
39,52,2.5,114.83,3,0,North,Month-to-month,Yes,0
56,3,33.5,60.42,2,1,East,One year,No,1
55,41,63.9,335.57,1,2,West,One year,Yes,0
35,54,30.1,237.94,4,2,East,Month-to-month,Yes,1
74,36,4.3,181.87,3,1,North,One year,Yes,1
52,31,25.7,125.7,3,0,North,Month-to-month,Yes,1
21,59,55.3,216.1,5,1,South,Two year,Yes,1
41,45,38.0,289.1,0,0,South,Month-to-month,Yes,0
71,50,18.6,98.17,1,1,West,One year,No,1
40,34,21.0,184.49,5,3,South,Month-to-month,Yes,1
50,21,23.0,276.15,3,0,North,One year,Yes,1
53,38,37.8,10.0,3,1,West,Month-to-month,No,1
58,70,53.4,178.96,7,1,North,One year,Yes,1
68,44,48.8,139.92,0,0,North,Month-to-month,Yes,1
26,51,39.3,170.95,5,0,South,Two year,No,1
47,9,10.7,132.33,0,1,South,Month-to-month,No,1
48,72,10.8,199.45,0,2,East,One year,Yes,0
26,18,40.5,386.98,2,1,West,Two year,Yes,1
57,70,10.5,150.99,1,0,West,Two year,Yes,1
24,33,28.4,215.63,3,2,South,Month-to-month,Yes,1
44,67,36.9,394.45,1,2,West,Month-to-month,Yes,1
37,65,13.8,127.25,1,0,East,Month-to-month,No,0
26,55,15.6,375.54,4,0,North,Month-to-month,No,1
65,66,30.5,185.56,5,0,West,One year,No,0
32,44,40.1,372.1,2,1,North,Two year,Yes,1
32,62,49.0,263.77,1,0,East,Two year,Yes,0
67,13,41.7,217.25,3,3,West,Month-to-month,Yes,1
68,6,33.2,178.11,3,2,North,One year,Yes,1
19,40,20.1,119.48,4,0,South,Two year,Yes,1
34,59,14.9,192.96,3,0,South,Two year,No,1
59,56,23.8,279.22,5,1,West,Month-to-month,Yes,1
63,39,38.6,183.62,1,1,North,Month-to-month,Yes,1
75,38,37.4,151.75,2,0,East,Two year,Yes,0
50,44,1.0,158.67,0,0,South,Month-to-month,No,0
18,63,19.4,289.21,3,3,North,Month-to-month,Yes,0
68,61,51.3,313.64,3,0,East,Two year,No,0
27,8,33.3,114.95,6,0,West,Two year,No,1
25,43,9.3,114.8,4,0,East,Two year,Yes,1
57,28,69.7,224.83,8,0,North,One year,Yes,0
53,58,31.5,345.39,5,2,North,Month-to-month,Yes,1
21,37,38.1,305.33,4,0,South,Month-to-month,Yes,1
27,72,38.4,53.56,3,0,East,Month-to-month,Yes,1
52,32,26.1,157.27,1,1,East,One year,Yes,1
32,49,20.4,87.29,0,0,North,Month-to-month,No,1
57,8,65.9,156.91,2,1,East,One year,No,0
41,68,48.1,353.46,5,0,South,Month-to-month,Yes,1
52,12,45.2,35.63,0,1,East,One year,Yes,1
45,28,41.2,15.02,4,0,West,Month-to-month,Yes,1
39,61,15.9,98.0,4,1,East,Month-to-month,Yes,1
37,70,52.4,215.17,1,0,North,Month-to-month,No,0
58,35,18.5,250.18,3,0,West,Month-to-month,Yes,1
47,35,36.5,230.93,1,0,North,Two year,No,0
52,4,5.8,308.45,4,1,West,Month-to-month,Yes,1
51,71,1.0,10.0,5,2,North,Month-to-month,No,1
30,2,37.1,309.78,4,0,East,One year,Yes,1
70,2,19.1,152.23,4,0,North,One year,Yes,1
50,35,1.0,261.81,7,0,North,Month-to-month,No,1
59,1,40.6,46.04,1,0,East,Month-to-month,Yes,1
69,12,65.9,185.52,4,1,East,Month-to-month,Yes,1
71,46,54.2,209.81,0,1,North,One year,No,0
56,51,27.9,306.35,2,1,West,Month-to-month,Yes,1
63,22,32.1,18.55,2,0,South,Month-to-month,Yes,1
45,58,46.2,188.23,2,1,South,Month-to-month,Yes,1
60,44,50.0,71.05,2,2,South,One year,Yes,1
36,17,26.5,238.08,3,0,South,Month-to-month,Yes,0
59,52,32.5,266.61,3,0,North,Two year,No,0
22,43,36.8,320.15,3,1,South,Month-to-month,Yes,0
71,59,40.9,128.82,0,4,North,One year,Yes,1
32,12,29.9,282.36,4,0,North,Month-to-month,Yes,1
56,17,30.1,327.89,1,0,South,Month-to-month,Yes,1
18,22,54.1,12.46,3,1,East,Month-to-month,No,1
27,25,51.4,249.3,2,0,West,One year,Yes,0
75,64,39.6,285.64,3,1,South,Two year,Yes,1
66,53,59.5,157.83,4,0,South,Month-to-month,Yes,1
30,40,25.8,57.87,5,1,West,Month-to-month,No,1
25,39,58.0,284.01,3,1,East,Two year,Yes,0
65,64,40.7,59.05,5,1,West,Month-to-month,Yes,1
75,33,84.3,166.27,2,1,West,Month-to-month,No,1
27,17,12.9,180.79,4,1,West,Month-to-month,Yes,1
56,10,21.0,260.13,2,2,West,One year,Yes,1
34,24,38.7,119.2,4,0,South,One year,No,1
61,48,38.4,113.12,1,0,South,One year,No,0
42,34,63.2,195.39,3,2,South,Two year,Yes,1
25,31,21.3,290.67,4,1,North,Month-to-month,No,1
36,35,46.5,425.18,2,1,East,Month-to-month,Yes,0
49,71,50.6,26.71,5,1,East,Month-to-month,No,1
64,72,43.3,218.11,2,1,West,Month-to-month,Yes,1
19,12,16.6,70.91,4,0,North,Month-to-month,Yes,1
73,9,54.5,291.98,1,0,South,Month-to-month,Yes,0
55,18,51.7,86.45,3,2,North,Month-to-month,No,1
68,62,41.6,114.16,4,0,West,One year,No,1
71,34,35.3,123.13,2,1,South,Month-to-month,Yes,1
26,63,35.6,177.0,2,3,North,Month-to-month,Yes,0
23,47,30.7,218.94,5,0,East,One year,Yes,1
63,40,42.3,235.79,3,1,West,One year,Yes,1
28,21,32.5,184.39,3,0,West,One year,No,1
26,25,18.4,45.36,2,1,North,One year,Yes,1
45,11,15.2,261.42,3,0,South,One year,No,0
70,38,20.0,179.44,4,0,North,Month-to-month,No,0
64,21,35.6,306.98,1,2,South,Month-to-month,Yes,1
48,22,31.6,110.69,1,2,East,One year,Yes,1
29,3,35.4,16.76,2,1,South,Month-to-month,No,1
37,58,40.0,181.43,5,1,North,Month-to-month,No,1
57,68,22.0,321.08,2,0,East,Month-to-month,No,1
27,36,55.5,201.9,3,1,North,Month-to-month,Yes,1
48,39,27.7,164.03,2,1,North,Month-to-month,Yes,1
18,67,25.1,93.61,1,1,North,Month-to-month,No,1
36,37,39.7,369.57,3,0,North,One year,Yes,0
32,45,2.6,76.89,0,0,South,Two year,No,1
57,31,19.4,108.83,1,2,West,Month-to-month,No,1
71,38,47.7,244.85,2,1,West,Two year,Yes,1
26,38,4.2,10.0,4,1,North,Month-to-month,Yes,1
64,52,49.9,318.83,2,1,North,Two year,Yes,0
56,44,56.2,250.54,2,0,South,Two year,No,0
74,37,26.1,279.42,4,0,East,Month-to-month,Yes,1
70,6,36.7,243.6,1,0,East,One year,Yes,0
23,66,49.9,168.08,2,1,West,Two year,No,0
61,64,24.5,73.37,5,1,South,Two year,No,1
52,14,45.9,170.29,4,1,North,Two year,Yes,0
24,22,21.3,82.6,2,1,North,One year,No,1
32,71,24.4,236.05,5,4,North,Month-to-month,Yes,1
71,24,19.2,269.71,5,1,North,Two year,No,1
49,59,37.5,340.06,2,0,West,One year,No,1
37,57,50.5,224.04,1,1,South,One year,Yes,0
36,62,29.1,282.08,3,0,West,Month-to-month,Yes,1
66,2,11.7,153.8,2,1,East,One year,Yes,1
34,35,14.7,134.78,1,0,East,Month-to-month,No,1
27,41,38.3,234.74,2,0,South,One year,No,1
51,61,61.5,144.42,4,2,West,Month-to-month,Yes,1
75,17,38.3,213.26,5,1,North,One year,No,1
28,23,25.8,73.57,1,1,North,Two year,Yes,0
32,13,44.3,92.43,3,1,South,Month-to-month,No,1
45,55,28.2,251.72,2,0,South,Month-to-month,No,1
29,72,25.9,278.1,3,1,East,Month-to-month,Yes,1
55,11,16.7,81.51,3,1,East,Two year,Yes,1
32,17,54.5,255.41,0,0,East,One year,No,1
25,23,1.0,129.06,2,1,South,Month-to-month,No,1
33,65,44.8,186.73,0,1,South,Month-to-month,Yes,1
71,33,24.6,333.78,10,0,West,Month-to-month,No,1
72,21,25.4,269.79,5,0,North,Month-to-month,Yes,1
47,24,59.1,268.57,3,0,East,Two year,Yes,0
41,44,20.6,385.42,1,1,East,One year,No,0
65,28,21.1,111.09,3,1,West,Month-to-month,Yes,1
29,11,29.9,81.48,2,0,East,Two year,No,1
55,60,38.6,109.18,8,0,South,Month-to-month,Yes,1
57,31,24.9,158.28,1,0,South,Two year,Yes,0
59,19,6.8,10.0,3,0,South,Month-to-month,Yes,1
30,53,18.1,163.22,2,1,South,One year,Yes,0
59,54,52.5,127.82,3,1,North,Two year,Yes,1
53,12,33.2,267.29,5,1,East,Month-to-month,No,1
68,6,39.2,222.0,2,0,North,One year,Yes,1
28,4,27.8,121.93,3,1,East,Two year,No,1
53,56,21.4,246.95,2,1,West,Month-to-month,Yes,1
66,46,58.8,260.94,4,1,West,Month-to-month,Yes,1
34,58,29.0,104.3,8,1,North,One year,No,0
61,46,24.9,133.23,5,2,West,Month-to-month,Yes,1
23,29,49.5,10.0,3,0,North,Month-to-month,Yes,0
59,43,20.4,70.48,1,0,South,Month-to-month,No,1
53,53,22.5,107.04,2,0,North,One year,No,1
29,29,32.2,192.79,2,1,North,Month-to-month,Yes,1
21,66,32.0,85.73,2,2,North,Month-to-month,Yes,0
61,65,36.2,131.09,3,1,North,Two year,No,0
31,58,65.5,56.34,1,1,West,Month-to-month,Yes,0
46,72,37.4,202.97,2,2,North,Two year,No,0
21,29,1.0,229.7,3,3,South,Month-to-month,Yes,1
73,9,37.2,227.25,1,1,East,Two year,Yes,1
49,35,32.6,186.3,2,0,West,One year,No,1
72,54,32.7,23.19,2,1,West,Month-to-month,No,0
27,57,35.9,119.9,3,0,North,Two year,Yes,0
29,28,31.5,142.23,3,2,West,Month-to-month,Yes,1
53,22,31.2,142.65,4,0,East,Month-to-month,No,1
53,33,41.8,192.87,3,1,North,Month-to-month,Yes,1
63,58,23.3,334.68,4,0,South,One year,No,1
71,5,16.8,270.27,3,0,West,Month-to-month,Yes,1
65,24,80.4,81.31,4,0,South,Month-to-month,Yes,1
26,17,20.5,256.23,5,0,North,Month-to-month,No,1
35,59,33.6,252.23,2,1,West,Month-to-month,No,0
71,34,8.1,100.36,3,0,West,Month-to-month,Yes,1
49,7,33.9,274.13,2,2,West,Month-to-month,No,1
68,19,17.1,168.16,2,1,West,Month-to-month,Yes,1
50,4,24.9,36.95,2,3,West,Month-to-month,Yes,1
20,35,48.7,232.8,6,1,South,One year,Yes,1
45,72,39.6,207.78,2,1,North,Month-to-month,No,1
65,41,41.1,161.09,2,0,East,One year,Yes,0
55,63,3.7,181.07,4,0,North,Month-to-month,Yes,1
25,54,61.4,109.5,5,0,South,Month-to-month,No,1
30,64,12.9,249.06,5,0,East,Month-to-month,Yes,1
67,23,56.5,180.44,2,0,West,Month-to-month,Yes,1
74,69,48.3,202.48,3,1,South,Month-to-month,Yes,1
61,18,41.2,222.5,4,0,South,One year,No,1
23,32,18.3,63.77,4,0,East,Month-to-month,No,1
53,50,34.4,91.1,2,1,North,Month-to-month,No,1
66,21,24.5,10.0,3,3,East,One year,Yes,1
55,20,32.5,244.3,2,1,East,Month-to-month,Yes,1
52,10,28.0,57.72,6,1,East,Month-to-month,No,1
45,1,1.0,198.92,1,1,South,Month-to-month,Yes,1
32,37,49.9,223.95,3,0,West,Month-to-month,Yes,0
34,72,30.7,248.25,4,0,South,Month-to-month,Yes,0
61,16,24.2,58.58,4,1,East,One year,Yes,1
22,32,23.0,178.16,4,0,South,Two year,Yes,0
22,68,37.7,360.38,4,1,North,Month-to-month,No,0
41,56,17.7,365.0,4,1,East,One year,Yes,0
62,1,1.0,288.67,1,0,North,One year,Yes,1
56,37,38.5,220.44,1,1,West,Month-to-month,Yes,1
52,11,40.3,79.46,1,3,East,One year,Yes,1
48,18,28.8,260.46,5,0,South,One year,Yes,1
24,18,13.6,168.41,3,1,South,Two year,No,1
37,45,33.4,243.86,7,1,East,Two year,Yes,1
22,15,8.6,118.55,3,1,South,Month-to-month,No,1
61,19,15.6,166.84,2,2,South,Month-to-month,Yes,1
61,17,20.0,202.24,5,0,South,Month-to-month,Yes,1
32,26,45.5,210.86,1,0,South,Month-to-month,No,1
34,48,26.2,236.84,3,0,West,Month-to-month,No,1
36,29,24.8,124.18,4,0,North,Two year,No,1
69,24,63.3,43.96,3,1,West,Month-to-month,No,1
46,38,37.6,355.6,0,0,South,Month-to-month,No,0
62,45,37.4,446.37,3,1,East,Two year,Yes,1
44,2,26.1,231.98,2,0,North,Month-to-month,Yes,1
58,65,22.5,45.98,5,1,South,Month-to-month,Yes,1
48,66,1.0,103.81,0,1,West,Two year,No,0
