customer_id,annual_spending,purchase_frequency,age,region
C0105,338.05,12.2,47,East
C0106,331.33,2.0,58,North
C0107,2586.63,21.7,36,West
C0108,667.27,2.6,49,South
C0109,2333.27,21.9,58,South
C0110,248.46,1.0,57,East
C0111,258.5,3.0,59,West
C0112,1302.8,12.7,32,East
C0113,613.7,5.8,41,North
C0114,696.52,5.7,54,East
C0115,3052.08,26.8,48,East
C0116,549.94,5.9,43,North
C0117,182.99,4.6,60,East
C0118,1435.74,12.7,43,West
C0119,1880.12,21.4,22,West
C0120,292.75,1.3,51,South
C0121,1325.3,12.1,27,East
C0122,1822.57,12.9,29,West
C0123,483.69,5.6,44,East
C0124,678.91,5.8,60,South
C0125,1152.7,13.9,46,North
C0126,3037.82,26.9,40,North
C0127,549.46,1.0,43,East
C0128,1495.53,15.0,37,West
C0129,718.21,5.2,39,East
C0130,274.72,1.0,63,West
C0131,2629.82,25.3,39,East
C0132,296.86,1.0,61,South
C0133,559.79,3.6,44,East
C0134,286.08,6.9,50,South
C0135,1324.57,10.6,34,North
C0136,1312.28,12.5,38,East
C0137,582.94,4.9,52,East
C0138,283.5,2.8,61,West
C0139,312.26,4.4,61,North
C0140,1355.53,12.3,29,South
C0141,928.78,9.3,52,North
C0142,1504.25,26.6,35,West
C0143,667.46,1.2,43,West
C0144,693.95,7.6,42,South
C0145,357.65,3.1,56,West
C0146,1171.65,12.8,40,East
C0147,229.65,3.9,55,South
C0148,2632.17,22.7,29,South
C0149,1153.84,14.4,41,East
C0150,1256.96,15.0,36,North
C0151,1262.66,11.9,46,North
C0152,578.86,4.8,33,West
C0153,659.39,4.4,46,North
C0154,3558.67,25.8,55,North
C0155,2257.84,26.4,42,West
C0156,1332.35,17.4,36,West
C0157,551.91,4.0,52,West
C0158,1123.86,15.2,25,North
C0159,1373.44,11.6,44,West
C0160,2493.9,22.8,39,South
C0161,465.81,7.8,37,North
C0162,1189.91,13.8,51,West
C0163,1247.91,12.5,40,South
C0164,783.47,10.4,35,East
C0165,1089.58,9.5,45,North
C0166,1308.45,13.3,32,North
C0167,2535.73,25.1,40,West
C0168,594.01,4.2,46,East
C0169,1507.06,15.7,49,West
C0170,1314.25,13.1,34,North
C0171,202.4,1.0,57,West
C0172,1225.64,16.1,49,West
C0173,1095.54,14.8,34,West
C0174,1403.59,14.8,48,North
C0175,1139.16,15.2,23,North
C0176,3083.3,23.9,42,East
C0177,189.98,2.1,69,North
C0178,1153.99,14.6,38,North
C0179,655.2,6.4,38,West
C0180,303.05,6.5,62,East
C0181,2447.6,29.0,51,West
C0182,630.86,6.7,51,West
C0183,2843.23,19.2,45,North
C0184,1213.82,11.9,36,West
C0185,215.98,1.0,68,North
C0186,2707.97,18.7,37,South
C0187,347.55,2.4,68,South
C0188,653.93,3.0,44,North
C0189,1149.18,9.9,26,East
C0190,2137.29,22.6,44,North
C0191,653.38,7.1,51,West
C0192,1190.01,14.3,37,West
C0193,1150.67,17.2,19,East
C0194,828.51,13.8,36,North
C0195,1853.36,21.7,35,East
C0196,348.19,5.7,71,East
C0197,892.47,10.0,27,South
C0198,1539.99,13.9,39,South
C0199,572.73,5.9,36,South
C0200,600.8,5.6,35,West
C0201,331.01,2.1,60,North
C0202,293.25,5.0,60,East
C0203,1051.17,13.7,41,South
C0204,1365.05,15.3,33,East
C0205,616.13,2.2,44,North
C0206,2376.4,27.2,41,West
C0207,610.19,2.1,42,South
C0208,2119.14,29.4,37,West
C0209,303.96,3.3,45,North
C0210,497.92,6.9,46,East
C0211,322.26,4.8,53,East
C0212,1382.35,15.7,30,West
C0213,369.17,2.9,71,North
C0214,550.33,1.5,52,East
C0215,506.09,5.2,33,North
C0216,710.6,4.9,58,South
C0217,2305.94,22.0,53,North
C0218,2467.0,23.9,32,North
C0219,1147.03,13.9,28,West
C0220,496.63,5.1,46,East
C0221,696.48,5.3,39,West
C0222,1867.93,12.0,36,East
C0223,280.68,2.4,59,East
C0224,2914.36,24.9,51,North
C0225,653.36,6.5,48,West
C0226,1499.47,10.6,58,North
C0227,1134.67,12.2,28,North
C0228,1968.03,26.1,60,East
C0229,493.84,6.8,47,East
C0230,649.02,10.9,57,North
C0231,1196.3,14.2,43,East
C0232,1245.48,10.6,32,East
C0233,663.67,8.8,43,South
C0234,1308.74,15.6,24,East
C0235,505.81,10.4,47,East
C0236,995.93,13.3,46,South
C0237,162.49,3.4,55,North
C0238,387.44,6.2,44,South
C0239,2489.16,23.2,34,West
C0240,405.97,4.5,52,South
C0241,1302.44,12.8,30,East
C0242,279.81,4.6,62,South
C0243,502.76,1.0,40,East
C0244,2282.79,22.0,39,East
C0245,630.84,5.9,53,South
C0246,1821.23,23.3,26,East
C0247,276.96,1.0,68,West
C0248,322.12,5.2,55,West
C0249,449.05,3.7,47,West
C0250,1657.29,13.9,35,North
C0251,531.31,5.9,61,West
C0252,1527.56,13.6,39,East
C0253,2634.71,25.1,39,South
C0254,254.42,5.3,58,South
C0255,1463.46,16.6,42,North
C0256,1330.67,20.0,40,West
C0257,1004.63,12.4,50,West
C0258,230.11,1.3,67,North
C0259,285.33,2.8,67,East
C0260,1088.72,9.8,27,East
C0261,1380.9,13.6,32,North
C0262,435.28,5.4,54,East
C0263,1061.94,11.5,28,West
C0264,280.16,3.7,75,South
C0265,311.76,2.9,65,East
C0266,618.93,4.7,63,West
C0267,2489.03,24.5,46,South
C0268,584.24,9.4,40,North
C0269,342.3,3.4,66,South
C0270,1201.63,12.2,44,North
C0271,319.33,1.2,69,South
C0272,1414.81,12.8,34,East
C0273,319.66,4.5,45,North
C0274,587.19,7.4,26,East
C0275,2588.29,25.5,47,West
C0276,1430.55,12.3,30,South
C0277,1690.12,26.4,48,West
C0278,1512.91,11.4,44,South
C0279,218.86,1.1,59,East
C0280,1399.22,16.7,36,North
C0281,253.25,1.0,52,South
C0282,3499.46,25.7,51,West
C0283,526.34,6.0,51,East
C0284,272.69,2.4,53,East
C0285,505.7,6.1,38,East
C0286,315.44,3.6,57,North
C0287,255.32,3.2,54,West
C0288,554.61,8.4,35,South
C0289,765.18,5.8,48,North
C0290,2161.26,26.5,41,West
C0291,1161.32,11.7,36,North
C0292,1344.13,13.4,38,West
C0293,479.57,4.3,41,South
C0294,595.57,7.5,51,North
C0295,549.85,6.8,44,North
C0296,205.92,2.5,55,East
C0297,2032.43,22.8,43,East
C0298,238.8,1.4,70,North
C0299,1778.78,23.6,33,South
C0300,1080.88,12.6,30,North
C0301,606.82,9.0,52,East
C0302,1480.54,10.0,36,West
C0303,596.27,7.9,59,South
C0304,655.83,8.0,66,West
C0305,559.53,5.4,46,South
C0306,2088.23,24.1,28,North
C0307,1130.86,12.7,46,South
C0308,2999.99,21.9,59,West
C0309,1283.38,13.5,25,West
C0310,2220.97,26.3,43,East
C0311,1274.26,13.5,26,South
C0312,294.78,6.1,67,West
C0313,293.24,6.4,48,East
C0314,453.8,10.1,50,West
C0315,2370.0,23.9,36,East
C0316,577.38,6.4,45,East
C0317,1978.11,24.6,38,West
C0318,1028.16,15.8,55,West
C0319,1687.09,14.4,36,East
C0320,296.2,3.9,55,North
C0321,680.56,1.5,43,South
C0322,1430.24,11.1,36,East
C0323,608.77,9.3,35,East
C0324,226.12,1.0,46,South
C0325,1840.13,21.9,52,North
C0326,519.1,6.1,37,West
C0327,1392.55,17.1,31,West
C0328,3276.14,24.8,42,North
C0329,321.61,3.9,73,South
C0330,2734.1,25.2,39,South
C0331,633.07,3.9,46,West
C0332,3797.48,18.5,44,West
C0333,576.89,5.5,43,South
C0334,559.05,5.4,47,South
C0335,273.67,7.4,56,South
C0336,606.39,4.5,52,North
C0337,622.61,6.9,37,South
C0338,1080.71,16.7,32,South
C0339,2788.41,21.9,50,North
C0340,482.05,3.9,39,East
C0341,1125.39,13.9,39,West
C0342,2007.18,23.9,33,South
C0343,334.75,4.8,58,South
C0344,1311.12,16.9,37,South
C0345,2075.08,25.3,33,North
C0346,288.63,1.7,52,East
C0347,525.24,8.0,54,South
C0348,641.69,6.7,43,West
C0349,1438.98,24.8,24,South
C0350,817.24,12.6,40,West
C0351,505.34,9.4,49,South
C0352,1193.88,16.0,51,North
C0353,600.74,4.3,41,South
C0354,924.48,12.9,30,West
C0355,1175.96,13.6,22,South
C0356,1931.32,22.9,42,West
C0357,1138.87,12.4,32,East
C0358,923.89,11.8,36,East
C0359,519.27,6.2,48,West
C0360,617.49,4.6,32,East
